"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"2459","Micropogonias","MT_40",2031,1430.39891399935,760.406090801483,2689.78335658305,1.01754062118508e-18,4.04962837228993e-21,3.47870535505677e-16,"No MPA"
"2460","Micropogonias","MT_40",2032,1430.40105337679,760.515768243259,2689.7833569103,6.19952114802844e-20,1.88844599299925e-22,2.76976992917312e-17,"No MPA"
"2461","Micropogonias","MT_40",2033,1430.40198288646,760.580778915865,2689.7833569807,3.77714528979286e-21,8.80543755786589e-24,2.20531050322931e-18,"No MPA"
"2462","Micropogonias","MT_40",2034,1430.40238673563,760.619307534424,2689.78335699585,2.30127684583305e-22,4.10555431548164e-25,1.7558838963354e-19,"No MPA"
"2463","Micropogonias","MT_40",2035,1430.40256219799,760.642139408972,2689.78335699911,1.40208352305867e-23,1.9141569280879e-26,1.39804723771637e-20,"No MPA"
"2464","Micropogonias","MT_60",2015,889.50587102336,438.127292037053,1439.70701062183,15.5225449297218,4.31706112289671,55.8131405142708,"No MPA"
"2465","Micropogonias","MT_60",2016,1120.44298411922,526.923667763072,2041.44751078154,1.43231206786264,0.282952721005764,7.70018113195786,"No MPA"
"2466","Micropogonias","MT_60",2017,1324.49760718038,612.235177413646,2596.10355536927,0.127037833779944,0.0181440753905811,1.01531146638864,"No MPA"
"2467","Micropogonias","MT_60",2018,1473.39752964823,687.039510608749,2941.01856376972,0.0105742702664967,0.00112403571028094,0.120065817913044,"No MPA"
"2468","Micropogonias","MT_60",2019,1563.99697428909,747.035446956234,3077.13704210879,0.000828277978599123,6.72541709941894e-05,0.0126483160693175,"No MPA"
"2469","Micropogonias","MT_60",2020,1611.69498017593,791.384942218049,3114.38108357001,6.19084125118265e-05,3.89901757224321e-06,0.00123060834758613,"No MPA"
"2470","Micropogonias","MT_60",2021,1634.54966277852,822.011924315029,3122.94813326477,4.4921528690775e-06,2.20231188812672e-07,0.000115819846076642,"No MPA"
"2471","Micropogonias","MT_60",2022,1644.9489419549,842.092301478163,3124.8200556684,3.20795204978088e-07,1.21968201477755e-08,1.07997635139998e-05,"No MPA"
"2472","Micropogonias","MT_60",2023,1649.56249309217,854.783375761364,3125.22415509462,2.27321397191248e-08,6.66201990514098e-10,1.00487661175711e-06,"No MPA"
"2473","Micropogonias","MT_60",2024,1651.5855614257,862.610497599056,3125.31115748926,1.60514712961752e-09,3.6056219617037e-11,9.34559914975598e-08,"No MPA"
"2474","Micropogonias","MT_60",2025,1652.46809533713,867.362975628423,3125.32987821779,1.13163232264181e-10,1.94006758560917e-12,8.69075469841757e-09,"No MPA"
