"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"1324","Panulirus","MT",2022,230.236924328112,83.9630342325058,671.668447331899,17.5178830690826,4.35089264770826,87.5011363289182,"MPA 2015",0.0803878792759699
"1325","Panulirus","MT",2023,238.152899353916,84.5562542462219,709.321088231771,17.8074808134089,4.28335070568374,91.9696749199982,"MPA 2015",0.0786658815221775
"1326","Panulirus","MT",2024,245.348484900178,85.1807542494147,739.760212625161,18.0255077175889,4.21923419010894,95.1976482779618,"MPA 2015",0.0769807910620553
"1327","Panulirus","MT",2025,251.866820196338,85.8326644202328,764.066386242575,18.1768001861604,4.15805812363704,97.3078930415533,"MPA 2015",0.0753318147777818
"1328","Panulirus","MT",2026,257.761631560488,86.5084104362426,783.456780084935,18.2672069388919,4.09939998313182,98.4871061848698,"MPA 2015",0.0737181767438721
"1329","Panulirus","MT",2027,263.091898030941,87.2046614357303,799.075659298887,18.303121923185,4.04289157865325,98.9369322292265,"MPA 2015",0.0721391178771298
"1330","Panulirus","MT",2028,267.9178316523,87.9182970673041,811.890344922134,18.2910896943999,3.98821225737851,98.8416411025242,"MPA 2015",0.070593895580812
"1331","Panulirus","MT",2029,272.298031470864,88.6463874591769,822.663231273057,18.2374994311843,3.93508316168155,98.3531944575514,"MPA 2015",0.0690817833861155
"1332","Panulirus","MT",2030,276.287607036777,89.3861815445212,831.966812229039,18.1483686523093,3.88326233120426,97.5886390352351,"MPA 2015",0.0676020705940625
"1333","Panulirus","MT",2031,279.93706296786,90.1351004801702,840.216576292331,18.0292075691715,3.83254048515892,96.634013743677,"MPA 2015",0.0661540619204918
"1334","Panulirus","MT",2032,283.291756017273,90.8907338992954,847.706850075319,17.8849496842333,3.78273735689734,95.5505658696421,"MPA 2015",0.0647370771463214
"1335","Panulirus","MT",2033,286.391764173563,91.6508374840813,854.642575555684,17.7199327011476,3.73369848056126,94.3809587177923,"MPA 2015",0.0633504507746616
"1336","Panulirus","MT",2034,289.272036939771,92.4133308820673,861.164755374819,17.5379147579073,3.68529235128257,93.1545006518015,"MPA 2015",0.0619935316958234
"1337","Panulirus","MT",2035,291.962724103877,93.1762953683543,867.369645573506,17.3421132687636,3.63740789732866,91.8911738980057,"MPA 2015",0.060665682860812
"1338","Panulirus","MT_20",2015,192.914306331364,99.4025072661782,332.619650429999,16.1963324389177,5.93113459609145,44.2278590391615,"MPA 2015",0.0910742013664868
"1339","Panulirus","MT_20",2016,207.91937593845,99.7743049951557,402.796457107148,17.1274384348255,5.80432545414891,52.8595190453326,"MPA 2015",0.0891230829819148
"1340","Panulirus","MT_20",2017,222.616446453774,100.229319602674,479.290555322493,18.0024881346438,5.68781495908791,62.2750933472726,"MPA 2015",0.0872137983733902
"1341","Panulirus","MT_20",2018,236.788180798062,100.755722654711,558.92574701222,18.8073462141411,5.58016872240776,72.1410893320888,"MPA 2015",0.0853454491699487
