"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Status"
"4692","Scomberomorus","MT_40",2027,13187.1570236142,13187.1570236142,5070.17499425756,5121.25389220405,13136.0781256677,7300.16885734639,7300.16885734639,1900.81941997531,1921.20337941352,7279.78489790818,5289.78128502793,5289.78128502793,3890.00269173984,4227.95984303773,4951.82413373003,"No MPA"
"4693","Scomberomorus","MT_40",2028,13136.0781256677,13136.0781256677,5059.74814046694,5101.41731905568,13094.4089470789,7279.78489790818,7279.78489790818,1898.5020556318,1915.83888271162,7262.44807082836,4951.82413373003,4951.82413373003,3657.1290959242,3957.84106357153,4651.11216608271,"No MPA"
"4694","Scomberomorus","MT_40",2029,13094.4089470789,13094.4089470789,5051.18905531948,5085.2350257342,13060.3629766642,7262.44807082836,7262.44807082836,1896.51792872624,1911.27630732125,7247.68969223335,4651.11216608271,4651.11216608271,3448.1233198045,3717.49121637987,4381.74426950733,"No MPA"
"4695","Scomberomorus","MT_40",2030,13060.3629766642,13060.3629766642,5044.16042958442,5072.01321771386,13032.5101885348,7247.68969223335,7247.68969223335,1894.81934943893,1907.39230855554,7235.11673311674,4381.74426950733,4381.74426950733,3259.46644163548,3502.1937232779,4139.01698786491,"No MPA"
"4696","Scomberomorus","MT_40",2031,13032.5101885348,13032.5101885348,5038.38668672644,5061.19654211341,13009.7003331478,7235.11673311674,7235.11673311674,1893.36537104704,1904.08345200495,7224.39865215883,4139.01698786491,4139.01698786491,3088.30515317196,3308.18925611808,3919.1328849188,"No MPA"
"4697","Scomberomorus","MT_40",2032,13009.7003331478,13009.7003331478,5033.64245305712,5052.33829765087,12991.0044885541,7224.39865215883,7224.39865215883,1892.12086648781,1901.26274829802,7215.25677034862,3919.1328849188,3919.1328849188,2932.30046201894,3132.44264065595,3718.99070628179,"No MPA"
"4698","Scomberomorus","MT_40",2033,12991.0044885541,12991.0044885541,5029.74324110151,5045.07773597542,12975.6699936801,7215.25677034862,7215.25677034862,1891.05572000253,1898.85685679452,7207.45563355663,3718.99070628179,3718.99070628179,2789.5160666137,2972.47513943422,3536.03163346126,"No MPA"
"4699","Scomberomorus","MT_40",2034,12975.6699936801,12975.6699936801,5026.53790908828,5039.12255993426,12963.0853428342,7207.45563355663,7207.45563355663,1890.14412406163,1896.80381245255,7200.79594516572,3536.03163346126,3536.03163346126,2658.33473160894,2826.24156735933,3368.12479771088,"No MPA"
"4700","Scomberomorus","MT_40",2035,12963.0853428342,12963.0853428342,5023.90254651621,5034.23529029672,12952.7525990537,7200.79594516572,7200.79594516572,1889.36397058242,1895.05116589156,7195.10874985658,3368.12479771088,3368.12479771088,2537.39476859515,2692.03878643652,3213.48077986952,"No MPA"
"4701","Scomberomorus","MT_60",2016,18282.6381225325,18282.6381225325,6398.94915228144,7106.85794495469,17574.7293298593,9410.44453525716,9410.44453525716,2301.01510522936,2427.76895477358,9283.69068571293,22328.5932249164,22328.5932249164,13524.0505634023,17465.2666334015,18387.3771549172,"No MPA"
