,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
24,Epinephelus,MT_40,0.062038507,0.039696193,0.096955807,36551.51895,7007.578052,190652.6803,566.9004195,53.40645843,6017.550969,18275.75948,3503.789026,95326.34013,2005,91.3885,91.3885,19097.3566,14975.70149,22194.82513,1.044955567,0.819429776,1.214440645,0.522477783,0.409714888,0.607220322,0.004785401,0.004117559,0.006102452,0.031019254,0.019848096,0.048477904,0.154271942,0.132742037,0.196731104,0.154271942,0.2
25,Epinephelus,MT_60,0.062038507,0.039696193,0.096955807,40965.99722,7885.354207,212826.575,635.3673302,60.32714831,6691.707724,20482.99861,3942.677103,106413.2875,2005,104.444,104.444,21411.13005,17673.67941,24876.10682,1.045312283,0.862846293,1.214475834,0.522656142,0.431423146,0.607237917,0.004878024,0.004198567,0.005909579,0.031019254,0.019848096,0.048477904,0.157257933,0.135353577,0.190513247,0.157257933,0.2
26,Lutjanus,MT,0.282239296,0.163449697,0.487361077,1240.837593,402.2709952,3827.464445,87.55328219,28.08181813,272.9729673,620.4187963,201.1354976,1913.732222,2005,70.2448,70.2448,396.8915397,245.9545453,694.9857068,0.639715531,0.396433098,1.120188026,0.319857765,0.198216549,0.560094013,0.176987396,0.101073733,0.285600739,0.141119648,0.081724848,0.243680538,1.254165512,0.716227221,2.02381981,1.254165512,0.2
27,Lutjanus,MT_20,0.282239296,0.163449697,0.487361077,1469.219105,475.0846858,4543.62105,103.6678415,33.08285588,324.8516816,734.6095525,237.5423429,2271.810525,2005,84.29376,84.29376,471.5407383,291.3876311,828.9080735,0.641893012,0.396656469,1.128365498,0.320946506,0.198328234,0.564182749,0.178762413,0.101692531,0.289283933,0.141119648,0.081724848,0.243680538,1.266743611,0.720612136,2.049919604,1.266743611,0.2
28,Lutjanus,MT_40,0.282239296,0.163449697,0.487361077,1700.961905,565.9828802,5111.941551,120.0195727,40.51002678,355.5835179,850.4809525,282.9914401,2555.970775,2005,98.34272,98.34272,544.9134798,337.6524608,956.2947904,0.64071215,0.397013548,1.12441647,0.320356075,0.198506774,0.562208235,0.180474009,0.102837243,0.291254267,0.141119648,0.081724848,0.243680538,1.278872297,0.728723779,2.063881756,1.278872297,0.2
29,Lutjanus,MT_60,0.282239296,0.163449697,0.487361077,1927.033385,631.1378145,5883.750874,135.9711366,44.492278,415.5361517,963.5166926,315.5689072,2941.875437,2005,112.39168,112.39168,619.0282754,382.5340711,1084.577411,0.642467619,0.397018624,1.125644651,0.32123381,0.198509312,0.562822326,0.181561464,0.103627163,0.293808287,0.141119648,0.081724848,0.243680538,1.286578209,0.734321296,2.081980012,1.286578209,0.2
30,Micropogonias,MT,0.565525439,0.407485471,0.784859938,1028.297105,543.2403602,1946.45872,145.3820429,79.12780044,267.1114105,514.1485525,271.6201801,973.2293599,2005,118.2628,118.2628,407.7172674,205.8825674,619.5515104,0.79299507,0.400434012,1.205004871,0.396497535,0.200217006,0.602502436,0.290060808,0.190884532,0.574418716,0.282762719,0.203742736,0.392429969,1.025809939,0.675069657,2.031451378,1.025809939,0.2
31,Micropogonias,MT_20,0.565525439,0.407485471,0.784859938,1249.360535,655.6321697,2380.758326,176.6362912,94.88824488,328.8118502,624.6802675,327.8160848,1190.379163,2005,141.91536,141.91536,498.0153504,250.1508654,752.4395081,0.797232402,0.400446242,1.204519411,0.398616201,0.200223121,0.602259706,0.284961819,0.188607002,0.567319085,0.282762719,0.203742736,0.392429969,1.00777719,0.667015095,2.00634329,1.00777719,0.2
32,Micropogonias,MT_40,0.565525439,0.407485471,0.784859938,1430.402697,760.6753428,2689.783357,202.2322782,111.5037062,366.7850672,715.2013487,380.3376714,1344.891678,2005,165.56792,165.56792,570.9205134,288.5074962,861.4975205,0.798265432,0.403393389,1.204552427,0.399132716,0.201696695,0.602276214,0.290001701,0.192186183,0.573877359,0.282762719,0.203742736,0.392429969,1.025600905,0.67967299,2.029536851,1.025600905,0.2
33,Micropogonias,MT_60,0.565525439,0.407485471,0.784859938,1653.147593,874.4332864,3125.33501,233.7242544,127.5215895,428.3747349,826.5737965,437.2166432,1562.667505,2005,189.22048,189.22048,655.4060696,332.025992,995.6511397,0.792919002,0.401689472,1.204552024,0.396459501,0.200844736,0.602276012,0.288707244,0.190046968,0.569896588,0.282762719,0.203742736,0.392429969,1.021023014,0.672107582,2.015458719,1.021023014,0.2
