"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","Revenue_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","Revenue_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","Revenue_hi","Status"
"3432","Caranx","MT_60",2029,1094.86648611131,1094.86648611179,8.3449686910608,5.01388527578621e-10,1103.21172851904,-3.02189014825482e-06,4.57944789243023e-13,-156529.501770646,885.600234437352,885.600234433137,35.0028581580197,1.26693566700376e-10,920.603313991144,-8.74656073519699e-07,1.43059509359182e-13,-137821.573788732,1265.58401711914,1265.58401713057,3.79731397853563,3.1721820544891e-09,1269.38164750202,-1.77955656178588e-05,2.50649598804558e-12,-176986.728445781,"No MPA"
"3433","Caranx","MT_60",2030,1103.2114527161,1103.21145271562,4.55986813123905,9.85067669755926e-11,1107.77159664969,-5.89185012507149e-07,8.92908989535757e-14,-156529.501768213,920.603083840316,920.603083839834,21.816804205022,2.44040847341072e-11,942.42011819566,-1.62064503898554e-07,2.65087952250647e-14,-137821.57378802,1269.3813301566,1269.3813301452,1.94549863856864,6.51965158739463e-10,1271.32714612853,-3.64626806196231e-06,5.13608464422389e-13,-176986.728431632,"No MPA"
"3434","Caranx","MT_60",2031,1107.77131970679,1107.77131970724,2.46700875167585,1.92872602925365e-11,1110.23860540179,-1.14880074422806e-07,1.74108637113177e-14,-156529.501767739,942.419882590631,942.419882590587,13.0376379568567,4.62936097036674e-12,955.457756152469,-3.0030003460845e-08,4.91220516305406e-15,-137821.573787888,1271.32682829675,1271.32682830811,0.992429311548941,1.33808022795454e-10,1272.31957545131,-7.47159560757195e-07,1.05250661250275e-13,-176986.728428733,"No MPA"
"3435","Caranx","MT_60",2032,1110.23832784214,1110.23832784172,1.32746961037506,3.76936982148191e-12,1111.56607501175,-2.2400476538433e-08,3.39509885815741e-15,-156529.501767647,955.45751728803,955.457517288026,7.58578255984253,8.69736380683238e-13,963.043538712307,-5.56465744163741e-09,9.10282401375418e-16,-137821.573787863,1272.31925737142,1272.31925736002,0.505126694345117,2.74436025857097e-11,1272.82470213423,-1.5311079721138e-07,2.15697401149983e-14,-176986.728428138,"No MPA"
"3436","Caranx","MT_60",2033,1111.56579712023,1111.56579712062,0.712190684942361,7.35933807995906e-13,1112.27826569708,-4.36806465966553e-09,6.62069331315395e-16,-156529.501767629,963.043297951422,963.043297951422,4.34295601814849,1.62455637497535e-13,967.386494730455,-1.03118378121053e-09,1.68689816158006e-16,-137821.573787859,1272.82438392805,1272.82438393947,0.256807005964687,5.62679283377207e-12,1273.0815091516,-3.1378038747069e-08,4.42071309924867e-15,-176986.728428017,"No MPA"
"3437","Caranx","MT_60",2034,1112.27798762751,1112.27798762715,0.381484765209268,1.43610720015176e-13,1112.65975046192,-8.51804519003801e-10,1.29114021593484e-16,-156529.501767625,967.386252883832,967.386252883832,2.46297363547914,3.02422862987223e-14,969.849468365934,-1.91094259624735e-10,3.12618446334097e-17,-137821.573787858,1273.08119088122,1273.08119086983,0.130485341668078,1.15351492226884e-12,1273.21199448187,-6.43092079782862e-09,9.06080964947454e-16,-176986.728427992,"No MPA"
"3438","Caranx","MT_60",2035,1112.65947229698,1112.65947229733,0.204167800741737,2.8017189778067e-14,1112.86391826301,-1.66115359042658e-10,2.51803750126089e-17,-156529.501767624,969.849225903567,969.849225903568,1.38922049709816,5.61898206348272e-15,971.238688863033,-3.54138158028824e-11,5.79366411671076e-18,-137821.573787858,1273.21167617888,1273.21167619021,0.0662809412229932,2.36466477359763e-13,1273.27827543444,-1.31809833316093e-09,1.85724355711863e-16,-176986.728427987,"No MPA"
"3439","Caranx","MT_60",2036,1112.86364004703,1112.8636400467,0.109219096614767,5.46527279661119e-15,1112.9731373593,-3.23965323745129e-11,4.9109982873212e-18,-156529.501767624,971.238446053361,971.23844605336,0.781159035441878,1.04287185551485e-15,972.019847898474,-6.56313094593665e-12,1.07375444107944e-18,-137821.573787858,1273.27795711487,1273.27795710361,0.0336628177039268,4.84753705947469e-14,1273.31193824089,-2.70177793813727e-10,3.80713089432139e-17,-176986.728427986,"No MPA"
"3440","Caranx","MT_60",2037,1112.97285911601,1112.97285911632,0.0584121963677296,1.06605795093935e-15,1113.03154955597,-6.31838507800896e-12,9.57846973260054e-19,-156529.501767624,972.019604893512,972.019604893512,0.438479365464775,1.93439287452034e-16,972.458327263939,-1.21636109718901e-12,1.99007548940748e-19,-137821.573787858,1273.3116199129,1273.31161992405,0.0170954068190147,9.93776168852852e-15,1273.32903365885,-5.53832697764113e-11,7.8046560234547e-18,-176986.728427985,"No MPA"
"3441","Caranx","MT_60",2038,1113.03127129809,1113.03127129779,0.0312357241771822,2.07945089721806e-16,1113.06278527986,-1.23234533596497e-12,1.86827668815643e-19,-156529.501767624,972.458084149358,972.458084149358,0.245884978496583,3.58688968934466e-17,972.704212242436,-2.25437927477991e-13,3.68847650205902e-20,-137821.573787858,1273.32871532659,1273.32871531557,0.00868142906656197,2.0374046386195e-15,1273.3377150769,-1.13536250423795e-11,1.60006140185551e-18,-176986.728427985,"No MPA"
