"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"12","Cephalopholis","MT_40",0.561299863623192,0.404238592438158,0.779385102751198,1598.48107800359,995.483735789807,2566.73380475501,224.306802771916,167.759648761466,299.914443915527,799.240539001793,497.741867894904,1283.36690237751,2000,0.252,0.252,381.603235964343,314.663198091789,633.878045600169,0.477457307709822,0.393702749969097,0.793100468091681,0.238728653854911,0.196851374984548,0.396550234045841,0.000660371758544382,0.000397552812799189,0.000800856285476671,0.267996721703419,0.193006670017931,0.37212311282873,0.00246410386793905,0.00148342416381923,0.00298830627623477,0.00235300879740708
"13","Cephalopholis","MT_60",0.565525438699537,0.407485471376748,0.784859938038403,1790.94208486932,1116.04478073304,2873.96492213272,253.205827057796,190.491798746859,336.56667256957,895.471042434658,558.022390366519,1436.98246106636,2000,0.288,0.288,427.422202663087,352.332355055027,842.953091205728,0.47731549364342,0.393460355900606,0.941351591798947,0.23865774682171,0.196730177950303,0.470675795899474,0.000673806831291388,0.000341656022149531,0.000817410027401599,0.269934053940781,0.194499128922714,0.374625808765744,0.0024961905378534,0.00126570181554227,0.00302818416375477,0.00238294083760706
"14","Epinephelus","MT",0.0620385073773583,0.039696192606757,0.0969558072165191,12920.7253314024,2451.53891340069,68098.1004123499,200.395628448257,18.4984114109887,2170.91116685384,6460.3626657012,1225.76945670035,34049.0502061749,2005,32.63875,32.63875,6750.92274101444,5543.19416317984,7846.64188257693,1.04497581488046,0.858031421766659,1.21458225932665,0.522487907440232,0.429015710883329,0.607291129663327,0.0048347094541176,0.00415958195727942,0.00588807626779519,0.0310192536886791,0.0198480963033785,0.0484779036082595,0.155861565937097,0.134096777408849,0.189820049408349,0.155861565937097
"15","Epinephelus","MT_20",0.0620385073773583,0.039696192606757,0.0969558072165191,15279.6432224279,2916.45582124444,80051.7859053549,236.981564694498,22.1328695774658,2537.4144011688,7639.82161121393,1458.22791062222,40025.8929526775,2005,39.1665,39.1665,7986.08076594256,6595.72588464951,9280.36873240692,1.04532293715083,0.863335064652312,1.21473631253182,0.522661468575417,0.431667532326156,0.60736815626591,0.00490434559177381,0.00422036032504087,0.00593816369645587,0.0310192536886791,0.0198480963033785,0.0484779036082595,0.158106498660337,0.136056152975116,0.191434770031978,0.158106498660337
"16","Epinephelus","MT_40",0.0620385073773583,0.039696192606757,0.0969558072165191,18176.3277291245,3438.10459494687,96093.3213614591,281.908060479142,25.8660033302645,3072.45590083588,9088.16386456223,1719.05229747344,48046.6606807295,2005,45.69425,45.69425,9498.92621716834,7833.20024992918,11037.910419689,1.04519750729934,0.861912303372239,1.21453690582423,0.522598753649668,0.430956151686119,0.607268452912114,0.00481046477836751,0.00413975546662278,0.00583340761656299,0.0310192536886791,0.0198480963033785,0.0484779036082595,0.155079965064509,0.133457610172408,0.188057639139525,0.155079965064509
"17","Epinephelus","MT_60",0.0620385073773583,0.039696192606757,0.0969558072165191,20152.8537098445,3828.54668090136,106081.379306776,312.563240888253,28.9236613004513,3377.71136716513,10076.4268549223,1914.27334045068,53040.6896533878,2005,52.222,52.222,10532.6858899133,8661.79968224962,12236.9634702148,1.04527984389309,0.859610237533594,1.21441495545985,0.522639921946547,0.429805118766797,0.607207477729923,0.00495808956479094,0.00426756197541246,0.00602900112167418,0.0310192536886791,0.0198480963033785,0.0484779036082595,0.159839099114124,0.137577841757358,0.194363190751895,0.159839099114124
"18","Haemulon","MT",0.565525438699537,0.407485471376748,0.784859938038403,16.1632848193094,7.79331444225517,33.5225503969935,2.28518718456636,1.03983793258952,5.02201382046311,8.08164240965468,3.89665722112759,16.7612751984968,2005,3.5371,3.5371,5.23131910524153,3.20167273716977,9.70043934991909,0.647308905797659,0.396166097790334,1.20030544018262,0.323654452898829,0.198083048895167,0.60015272009131,0.676139216293649,0.364632968921093,1.10476625513161,0.282762719349769,0.203742735688374,0.392429969019201,2.39118939670858,1.28953692961926,3.90704353697011,2.39118939670858
"19","Haemulon","MT_20",0.565525438699537,0.407485471376748,0.784859938038403,19.8607773221858,9.57061524545404,41.2147459411044,2.80794370201072,1.27627515182269,6.17778056902659,9.93038866109289,4.78530762272702,20.6073729705522,2005,4.24452,4.24452,6.3616584990502,3.93477636038849,11.8528366325671,0.640625328591124,0.396235887101266,1.19359241990259,0.320312664295562,0.198117943550633,0.596796209951295,0.667203371673237,0.358101620023823,1.07871950302683,0.282762719349769,0.203742735688374,0.392429969019201,2.35958747747056,1.26643859150634,3.81492830988264,2.35958747747056
"20","Haemulon","MT_40",0.565525438699537,0.407485471376748,0.784859938038403,22.7691952949679,10.8810270012773,47.6458935649667,3.21913978950552,1.43945400327058,7.19916090464314,11.3845976474839,5.44051350063864,23.8229467824834,2005,4.95194,4.95194,7.29970368045902,4.49957225847632,13.6445501072945,0.641191187118703,0.395233314149732,1.19850964696236,0.320595593559352,0.197616657074866,0.59925482348118,0.678375481631689,0.362924388203364,1.10053572107249,0.282762719349769,0.203742735688374,0.392429969019201,2.39909802533961,1.28349447564351,3.8920821089967,2.39909802533961
"21","Haemulon","MT_60",0.565525438699537,0.407485471376748,0.784859938038403,26.5485603315055,12.711117647637,55.4495737679383,3.75347155707894,1.68461001073342,8.36309213410584,13.2742801657528,6.35555882381848,27.7247868839692,2005,5.65936,5.65936,8.46965509357187,5.24720167134248,15.9772956632352,0.638050047747472,0.395290863671848,1.20362802831721,0.319025023873736,0.197645431835924,0.601814014158603,0.668192498688079,0.354212635184724,1.07854821569152,0.282762719349769,0.203742735688374,0.392429969019201,2.36308555889062,1.25268506399733,3.81432254637992,2.36308555889062
"22","Haemulopsis","MT",0.565525438699537,0.407485471376748,0.784859938038403,31.9646082139164,15.1862954302533,67.2801462978081,4.5191997707585,1.99775207633253,10.2230736285938,15.9823041069582,7.59314771512663,33.640073148904,2005,7.1841,7.1841,15.1931081802833,6.39255513514843,19.3149743957396,0.950620641342238,0.399977067910084,1.20852251755931,0.475310320671119,0.199988533955042,0.604261258779654,0.472852553588942,0.371944577963543,1.12382292340341,0.282762719349769,0.203742735688374,0.392429969019201,1.67225918139526,1.31539468434472,3.97443809420038,1.67225918139526
"23","Haemulopsis","MT_20",0.565525438699537,0.407485471376748,0.784859938038403,38.7033608161785,18.4139731980139,81.3485564662853,5.47193377617892,2.42565464459839,12.3439086093994,19.3516804080892,9.20698659900696,40.6742782331427,2005,8.62092,8.62092,17.2737136925346,7.74461246327201,23.3867065487116,0.892620864352121,0.400203615394282,1.20851037509568,0.446310432176061,0.200101807697141,0.604255187547838,0.499077393167967,0.368624798966187,1.11315059867537,0.282762719349769,0.203742735688374,0.392429969019201,1.76500422090871,1.30365417270658,3.9366950538428,1.76500422090871
"24","Haemulopsis","MT_40",0.565525438699537,0.407485471376748,0.784859938038403,44.8351388914733,21.5075788756355,93.4642476980479,6.33885289768881,2.85564485570829,14.0707469201634,22.4175694457366,10.7537894378178,46.732123849024,2005,10.05774,10.05774,19.830756683428,8.97630388346885,27.1739457707357,0.884607795302244,0.400413787283971,1.2121718117797,0.442303897651122,0.200206893641986,0.606085905889848,0.507178831375857,0.370124386235856,1.1204767720178,0.282762719349769,0.203742735688374,0.392429969019201,1.79365523341319,1.308957514226,3.9626043157118,1.79365523341319
"25","Haemulopsis","MT_60",0.565525438699537,0.407485471376748,0.784859938038403,52.421507846769,24.9443012530886,110.166023776216,7.41142405558383,3.28634603010734,16.7143709239567,26.2107539233845,12.4721506265443,55.0830118881082,2005,11.49456,11.49456,23.1562804506551,10.4616553710815,31.6804041716181,0.883464875460744,0.399135995922191,1.20867962303647,0.441732437730372,0.199567997961095,0.604339811518235,0.496390602303092,0.362828704385589,1.0987324273531,0.282762719349769,0.203742735688374,0.392429969019201,1.75550229338781,1.28315608655886,3.88570469926059,1.75550229338781
"26","Lutjanus","MT",0.282239296140523,0.163449696933239,0.487361076713619,305.821000239992,100.352740607774,931.977379206168,21.5786759631816,7.08734492327184,65.7000980430667,152.910500119996,50.1763703038869,465.988689603084,2005,17.5612,17.5612,98.0947233732001,60.7056350110395,171.563442897053,0.641517248954261,0.397001088632899,1.12198601641103,0.32075862447713,0.198500544316449,0.560993008205516,0.179022881110421,0.102359801735488,0.289284512002987,0.141119648070262,0.0817248484666194,0.24368053835681,1.26858933931927,0.725340539997123,2.04992370629323,1.26858933931927
"27","Lutjanus","MT_20",0.282239296140523,0.163449696933239,0.487361076713619,368.353212550148,119.853754154374,1132.0804271283,25.9909378603136,8.39611176085784,80.4573438395565,184.176606275074,59.9268770771872,566.040213564149,2005,21.07344,21.07344,117.927961867046,73.0749238915833,207.385749489474,0.640298267256139,0.396765503336746,1.12601569593337,0.320149133628069,0.198382751668373,0.563007847966686,0.178697568128571,0.101614696534728,0.288381278799077,0.141119648070262,0.0817248484666194,0.24368053835681,1.26628411119336,0.720060586348226,2.04352322828566,1.26628411119336
"28","Lutjanus","MT_40",0.282239296140523,0.163449696933239,0.487361076713619,417.890188068608,134.918098312001,1294.35718016255,29.4862581361286,9.38107920428478,92.6801064075118,208.945094034304,67.4590491560007,647.178590081276,2005,24.58568,24.58568,134.641171370602,82.9272965081535,236.505114768349,0.644385416144288,0.396885588012604,1.13190077930004,0.322192708072144,0.198442794006302,0.565950389650022,0.182601501084148,0.103954115428248,0.296472706035735,0.141119648070262,0.0817248484666194,0.24368053835681,1.29394810418768,0.73663814252492,2.10086058241957,1.29394810418768
"29","Lutjanus","MT_60",0.282239296140523,0.163449696933239,0.487361076713619,489.885372507019,159.226997285161,1507.20469699334,34.5662256814796,11.142866443931,107.227701586045,244.942686253509,79.6134986425806,753.602348496669,2005,28.09792,28.09792,156.886260770968,97.2389055591103,275.235855814311,0.640501919737237,0.396986360549955,1.12367452167749,0.320250959868618,0.198493180274978,0.561837260838743,0.179097391077597,0.10208669912163,0.288957592009503,0.141119648070262,0.0817248484666194,0.24368053835681,1.26911733076621,0.723405284222384,2.04760709058483,1.26911733076621
