,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,f,f_lo,f_hi,b,b_lo,b_hi,m.rate,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,fmsy,fmsy_lo,fmsy_hi,p.lo,p.hi,p,f_bar,c,c.lo,c.hi,profit.msy,profit.msy.lo,profit.msy.hi
35,Octopus,IUU_40,0.665311451,0.55940867,0.791262902,5433.871362,4169.839946,7081.07706,0.451590912,0.386057005,0.522325397,3073.67071,2657.427284,3595.432126,0.11,903.8042107,755.5684296,1081.122529,2716.935681,2084.919973,3540.53853,0.332655726,0.279704335,0.395631451,5000,6000,5500,1.7,4482943.87,4051966.675,4918771.112,3479646.211,2644489.504,4540714.622
36,Octopus,IUU_60,0.661993197,0.553980938,0.791065111,6289.561141,4784.339596,8268.346875,0.444750947,0.37689576,0.517541,3566.790473,3065.135786,4208.944771,0.11,1040.911671,863.3605168,1254.97644,3144.780571,2392.169798,4134.173438,0.330996598,0.276990469,0.395532555,5000,6000,5500,1.7,5188887.945,4675398.326,5711179.936,4007509.933,3021761.809,5270901.048
37,Panulirus,IUU_0,0.282239296,0.163449697,0.487361077,288.0067307,131.6016123,630.295294,0.117184009,0.097589372,0.144993836,107.6597403,87.01059561,129.276373,0.06,20.32170424,12.77204135,32.33403743,144.0033653,65.80080616,315.147647,0.141119648,0.081724848,0.243680538,10000,10000,10000,1.7,432010.0963,468843.0139,398070.8229,142251.9297,89404.28945,226338.262
38,Panulirus,IUU_20,0.282239296,0.163449697,0.487361077,344.3692172,156.8503006,756.0722378,0.116899428,0.097674233,0.146039506,129.506194,103.6651004,154.9968653,0.06,24.29863137,15.17549346,38.90637809,172.1846086,78.42515028,378.0361189,0.141119648,0.081724848,0.243680538,10000,10000,10000,1.7,516553.8261,557070.2362,478984.2276,170090.4196,106228.4542,272344.6466
39,Panulirus,IUU_40,0.282239296,0.163449697,0.487361077,404.6964586,185.1703464,884.4786803,0.116664758,0.097110543,0.144213834,151.3944769,122.4736873,181.8793246,0.06,28.55531091,17.99412233,45.31511823,202.3482293,92.58517319,442.2393401,0.141119648,0.081724848,0.243680538,10000,10000,10000,1.7,607044.6883,660537.9919,557883.5134,199887.1764,125958.8563,317205.8276
40,Panulirus,IUU_60,0.282239296,0.163449697,0.487361077,466.732181,213.3228911,1021.169963,0.11551246,0.096740128,0.144633785,174.7482474,139.5635192,208.6579842,0.06,32.93254056,20.7082435,52.37297059,233.3660905,106.6614455,510.5849813,0.141119648,0.081724848,0.243680538,10000,10000,10000,1.7,700098.2718,760169.4224,644774.15,230527.7839,144957.7045,366610.7941
41,Scomberomorus,IUU_0,0.835270211,0.5551594,1.256713525,17460.80151,9997.534676,30495.47708,0.545749248,0.448706326,0.676155513,4263.633907,3441.331105,5185.741466,1,3646.121843,2722.060257,4883.875902,8730.400757,4998.767338,15247.73854,0.40791786,0.271121167,0.613736591,1000,1250,1125,1.7,3016700.769,3012004.139,2984103.425,2871320.951,1905442.18,4273391.414
42,Scomberomorus,IUU_20,0.847893704,0.539830542,1.331758168,20581.71495,11710.01405,36174.76362,0.553665171,0.455415628,0.677379459,5043.210492,4122.135624,6131.212518,1,4362.776632,3246.961654,5862.040259,10290.85748,5855.007026,18087.38181,0.415524793,0.264553178,0.652650839,1000,1250,1125,1.7,3543560.187,3682013.966,3368210.023,3435686.598,2272873.158,5129285.227
43,Scomberomorus,IUU_40,0.847893704,0.549772897,1.307674018,23831.70626,13609.28798,41732.54501,0.562669835,0.457441623,0.692292754,5789.585293,4705.559865,7121.40049,1,5051.688424,3787.000662,6738.724973,11915.85313,6804.643991,20866.2725,0.41196823,0.267119529,0.635362838,1000,1250,1125,1.7,4138534.768,4253152.897,3977289.375,3978204.634,2650900.463,5896384.351
44,Scomberomorus,IUU_60,0.847893704,0.560879047,1.281780337,27537.12007,15673.81106,48379.61737,0.561038492,0.446104316,0.685321286,6635.90833,5432.488496,8345.581655,1,5837.137684,4347.778126,7836.687005,13768.56004,7836.905529,24189.80869,0.408651659,0.2703218,0.617768074,1000,1250,1125,1.7,4820814.806,4825113.764,4757056.492,4596745.926,3043444.688,6857101.129
45,Squatina,IUU_0,0.095607883,0.07380159,0.123857323,6439.358334,3017.548243,13741.39945,0.053933804,0.038772279,0.095566463,1461.753014,824.9536284,2033.357403,0.81,153.9133552,57.866331,409.3800401,3219.679167,1508.774121,6870.699723,0.043406534,0.03350635,0.056231943,1250,1250,1250,1.7,1329696.313,647634.676,2730076.658,134674.1858,50633.03963,358207.5351
46,Squatina,IUU_20,0.095607883,0.07380159,0.123857323,7690.179984,3623.531989,16320.77993,0.054221868,0.038915066,0.095998793,1744.784596,985.486136,2431.075948,0.81,183.8104578,69.85418538,483.6687195,3845.089992,1811.765995,8160.389967,0.043383942,0.033488911,0.056202676,1250,1250,1250,1.7,1588811.862,782208.7591,3227173.201,160834.1506,61122.41221,423210.1296
47,Squatina,IUU_40,0.095607883,0.07380159,0.123857323,9060.739191,4234.858216,19386.00787,0.053802523,0.038553785,0.095977529,2051.447651,1149.988554,2862.833346,0.81,216.569524,81.00646319,578.9952665,4530.369596,2117.429108,9693.003933,0.043293282,0.033418929,0.056085228,1250,1250,1250,1.7,1875893.158,908988.5465,3871308.59,189498.3335,70880.65529,506620.8582
