,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
19,Panulirus,IUU_20,0.282239296,0.163449697,0.487361077,344.3692172,156.8503006,756.0722378,24.29863137,15.17549346,38.90637809,172.1846086,78.42515028,378.0361189,2008,15.1392,19.9656,129.506194,103.6651004,154.9968653,0.752135717,0.60205788,0.900178399,0.376067858,0.30102894,0.450089199,0.116899428,0.097674233,0.146039506,0.141119648,0.081724848,0.243680538,0.828371028,0.692137734,1.034863022,0.828371028,0.06
20,Panulirus,IUU_40,0.282239296,0.163449697,0.487361077,404.6964586,185.1703464,884.4786803,28.55531091,17.99412233,45.31511823,202.3482293,92.58517319,442.2393401,2008,17.6624,23.2932,151.3944769,122.4736873,181.8793246,0.748187802,0.605261967,0.898843174,0.374093901,0.302630984,0.449421587,0.116664758,0.097110543,0.144213834,0.141119648,0.081724848,0.243680538,0.826708113,0.68814332,1.021925975,0.826708113,0.06
21,Panulirus,IUU_60,0.282239296,0.163449697,0.487361077,466.732181,213.3228911,1021.169963,32.93254056,20.7082435,52.37297059,233.3660905,106.6614455,510.5849813,2008,20.1856,26.6208,174.7482474,139.5635192,208.6579842,0.748815936,0.59804541,0.89412298,0.374407968,0.299022705,0.44706149,0.11551246,0.096740128,0.144633785,0.141119648,0.081724848,0.243680538,0.818542718,0.685518486,1.024901824,0.818542718,0.06
23,Lutjanus,IUU_0,0.378136514,0.307547725,0.464926942,945.5131094,595.9814814,1500.038286,89.38325782,54.23588652,147.3077567,472.7565547,297.9907407,750.0191432,2009,37.5152,54.70666667,195.4441393,147.7637728,243.6062569,0.413413918,0.312557851,0.51528901,0.206706959,0.156278925,0.257644505,0.191948452,0.153999329,0.253886317,0.156326898,0.12714451,0.192207268,1.227865805,0.985110885,1.624073147,1.015233625,0.12
32,Lutjanus,IUU_20,0.378136514,0.307547725,0.464926942,1123.606711,708.5997258,1781.671649,106.2191813,64.51601657,174.8792792,561.8033557,354.2998629,890.8358246,2009,45.01824,65.648,231.6725905,177.1613137,287.316305,0.412373098,0.315343993,0.511417922,0.206186549,0.157671997,0.255708961,0.194318369,0.156685295,0.25410875,0.155933326,0.126824408,0.191723364,1.24616318,1.004822375,1.629598731,1.027768343,0.12
42,Lutjanus,IUU_40,0.378136514,0.307547725,0.464926942,1312.503365,826.6388339,2083.939216,124.0763618,75.16816399,204.8066994,656.2516826,413.319417,1041.969608,2009,52.52128,76.58933333,271.0340014,203.6019753,337.3768513,0.413003134,0.310249834,0.514096741,0.206501567,0.155124917,0.25704837,0.193781148,0.155675411,0.257960562,0.156171565,0.127018174,0.192016284,1.240822219,0.996823018,1.65177676,1.02492693,0.12
52,Lutjanus,IUU_60,0.378136514,0.307547725,0.464926942,1508.723426,955.707823,2381.738772,142.6258543,87.38631052,232.7839932,754.3617131,477.8539115,1190.869386,2009,60.02432,87.53066667,308.6288262,235.1187316,386.723491,0.409125783,0.311679036,0.512649945,0.204562891,0.155839518,0.256324973,0.194487083,0.1552125,0.255293653,0.154705397,0.125825704,0.190213599,1.257144779,1.003277863,1.650192288,1.028660683,0.12
62,Micropogonias,IUU_0,0.763379494,0.493614713,1.180573102,1229.121537,514.2876802,2937.538291,234.5715444,96.48109931,570.3066178,614.5607685,257.1438401,1468.769145,2009,166.3399,131.9491333,279.8420717,157.7786498,411.4029173,0.455352971,0.256734009,0.669425935,0.227676485,0.128367004,0.334712968,0.594406334,0.404323579,1.054261145,0.347607121,0.224768926,0.537577469,1.7099947,1.163162534,3.032910095,1.557302334,1
72,Micropogonias,IUU_20,0.798516219,0.518274632,1.230290106,1416.590029,580.712178,3455.631528,282.7925284,114.9030071,695.9923517,708.2950147,290.356089,1727.815764,2009,199.60788,158.33896,328.2341824,174.3155382,482.2066272,0.463414503,0.246105838,0.680799126,0.231707252,0.123052919,0.340399563,0.608126425,0.413946779,1.145095165,0.370043997,0.240175981,0.570134278,1.643389517,1.118642059,3.094483831,1.523141073,1
82,Micropogonias,IUU_40,0.786627861,0.51298945,1.206230249,1664.638914,696.0863088,3980.860821,327.3628371,137.0115243,782.1708989,832.3194571,348.0431544,1990.43041,2009,232.87586,184.7287867,382.4511485,213.7148464,564.8188243,0.45950043,0.256770216,0.678608219,0.229750215,0.128385108,0.339304109,0.608903545,0.412301874,1.089656914,0.36145584,0.235718873,0.554263318,1.684586266,1.140670113,3.014633579,1.548136228,1
