"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","f","f_lo","f_hi","b","b_lo","b_hi","m.rate","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","fmsy","fmsy_lo","fmsy_hi","p.lo","p.hi","p","f_bar","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"39","Lutjanus","IUU_0",0.378136514,0.307547725,0.464926942,944.9661277,598.8582796,1491.10568,0.222854553,0.14519198,0.412442889,182.300247,98.501977,279.8118732,0.12,89.33154938,54.78061938,145.6742513,472.4830638,299.4291398,745.5528401,0.145898097,0.11866251,0.179384835,2250,2500,2375,1.7,436254.689005642,311614.157508551,609057.552022165,148513.70084425,86279.4755235,254929.939775
"40","Lutjanus","IUU_60_legal",0.378136514,0.307547725,0.464926942,1509.13592,953.1196029,2389.512522,0.089889098,0.058639003,0.166924796,289.2555638,155.7642853,443.4066094,0.12,142.6648491,86.9002571,234.214027,754.5679601,476.5598014,1194.756261,0.144954592,0.117895134,0.178224775,2250,2500,2375,1.7,701245.152576815,497541.090563585,985612.243022891,237180.31162875,136867.9049325,409874.54725
"41","Lutjanus","IUU_40",0.378136514,0.307547725,0.464926942,1310.488128,828.0841222,2073.918684,0.223629353,0.147680061,0.41344929,254.3360932,137.5670908,385.1367304,0.12,123.8858531,75.53731528,203.1804354,655.244064,414.0420611,1036.959342,0.146775483,0.119376109,0.180463599,2250,2500,2375,1.7,601385.657397224,427118.024210355,844410.326483625,205960.23077875,118971.271566,355565.76195
"42","Lutjanus","IUU_60",0.378136514,0.307547725,0.464926942,1509.13592,953.1196029,2389.512522,0.224722744,0.146597508,0.417311991,289.2555638,155.7642853,443.4066094,0.12,142.6648491,86.9002571,234.214027,754.5679601,476.5598014,1194.756261,0.144954592,0.117895134,0.178224775,2250,2500,2375,1.7,701245.152576815,497541.090563585,985612.243022891,237180.31162875,136867.9049325,409874.54725
"43","Micropogonias","IUU_40",0.786627861,0.51298945,1.206230249,1580.251049,652.505135,3827.086168,0.435451104,0.309447424,1.151122522,442.9759808,167.5706767,623.3510602,1,310.7673756,126.885544,761.129745,790.1255244,326.2525675,1913.543084,0.393313931,0.256494725,0.603115125,750,750,750,1.7,177778.242769641,111305.397801066,283949.424456898,163152.87219,66614.9106,399593.116125
"44","Micropogonias","IUU_20",0.774916498,0.507758164,1.182640913,1429.434275,594.8173469,3435.142499,0.425655637,0.293209081,1.073503912,388.4314584,154.0171752,563.8912664,1,276.9230507,113.7316298,674.2748357,714.7171377,297.4086734,1717.57125,0.387458249,0.253879082,0.591320457,750,750,750,1.7,160811.355980448,100794.506201184,256564.501086591,145384.6016175,59709.105645,353994.2887425
"45","Micropogonias","IUU_0",0.763379494,0.49262847,1.182936611,1207.880966,506.6996935,2879.371049,0.420281714,0.290030719,1.096448318,327.8317741,125.6618281,475.0589893,1,230.5178902,95.29220298,557.6374148,603.940483,253.3498468,1439.685524,0.381689747,0.246314235,0.591468305,750,750,750,1.7,135886.608698976,87046.3116778452,212130.417250338,121021.892355,50028.4065645,292759.64277
"46","Micropogonias","IUU_60",0.786627861,0.51298945,1.206230249,1889.938668,791.1127825,4514.992358,0.45238098,0.295013227,1.086368508,487.3120877,202.924439,747.2570709,1,371.6696029,155.8698597,886.2412142,944.9693338,395.5563912,2257.496179,0.393313931,0.256494725,0.603115125,750,750,750,1.7,212618.099846812,136730.759014635,330623.897377802,195126.5415225,81831.6763425,465276.637455
"47","Micropogonias","IUU_20_legal",0.774916498,0.507758164,1.182640913,1429.434275,594.8173469,3435.142499,0.34052451,0.234567265,0.858803129,388.4314584,154.0171752,563.8912664,1,276.9230507,113.7316298,674.2748357,714.7171377,297.4086734,1717.57125,0.387458249,0.253879082,0.591320457,750,750,750,1.7,160811.355980448,100794.506201184,256564.501086591,145384.6016175,59709.105645,353994.2887425
"48","Micropogonias","IUU_60_legal",0.786627861,0.51298945,1.206230249,1889.938668,791.1127825,4514.992358,0.180952392,0.118005291,0.434547403,487.3120877,202.924439,747.2570709,1,371.6696029,155.8698597,886.2412142,944.9693338,395.5563912,2257.496179,0.393313931,0.256494725,0.603115125,750,750,750,1.7,212618.099846812,136730.759014635,330623.897377802,195126.5415225,81831.6763425,465276.637455
