,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,f,f_lo,f_hi,b,b_lo,b_hi,m.rate,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,fmsy,fmsy_lo,fmsy_hi,p.lo,p.hi,p,f_bar,c,c.lo,c.hi,profit.msy,profit.msy.lo,profit.msy.hi
26,Dasyatis,IUU_40_legal,0.609570907,0.42284483,0.87875425,1323.909335,816.4588358,2146.753579,0.150515188,0.108590714,0.206112806,553.6280362,404.2903962,767.3715805,0.26,201.7541537,160.2153879,254.0626031,661.9546676,408.2294179,1073.376789,0.304785454,0.211422415,0.439377125,1250,1250,1250,1.7,248233.0001,284174.0809,216837.5884,176534.8845,140188.4644,222304.7777
27,Dasyatis,IUU_0,0.609570907,0.42284483,0.87875425,936.6880261,574.6575905,1526.795213,0.259411287,0.184314182,0.345471967,382.4108855,287.1483347,538.2206558,0.26,142.7444425,112.2038309,181.5978626,468.344013,287.3287953,763.3976064,0.304785454,0.211422415,0.439377125,1250,1250,1250,1.7,175629.0047,199015.968,154990.3138,124901.3872,98178.35204,158898.1298
28,Dasyatis,IUU_20_legal,0.609570907,0.42284483,0.87875425,1135.749931,699.0311778,1845.308116,0.200471247,0.144460594,0.274377636,475.0488331,347.0896294,659.2360554,0.26,173.080029,136.9111272,218.8039573,567.8749655,349.5155889,922.6540579,0.304785454,0.211422415,0.439377125,1250,1250,1250,1.7,212953.1118,242839.3068,186745.0063,151445.0254,119797.2363,191453.4626
29,Epinephelus,IUU_40,0.447087927,0.40753641,0.490477928,1083.033991,881.9649294,1329.942479,1.53985296,1.375749275,2.917584158,385.1083704,203.2538675,431.0453037,0.25,121.0528553,97.05214056,150.9888777,541.5169953,440.9824647,664.9712396,0.223543963,0.203768205,0.245238964,2500,2500,2500,1.7,406137.7469,357215.2261,461760.4659,211842.4968,169841.246,264230.536
30,Epinephelus,IUU_60,0.441534111,0.3977228,0.490171475,1262.805811,1019.223016,1564.602144,1.493311099,1.348853933,2.458260311,453.841143,275.6933483,502.4458167,0.25,139.3929603,112.40381,172.8624446,631.4029053,509.6115078,782.301072,0.220767056,0.1988614,0.245085738,2500,2500,2500,1.7,473552.1781,423927.7079,528985.6297,243937.6805,196706.6675,302509.2781
31,Epinephelus,IUU_60_legal,0.441534111,0.3977228,0.490171475,1262.805811,1019.223016,1564.602144,0.59732444,0.539541573,0.983304124,453.841143,275.6933483,502.4458167,0.25,139.3929603,112.40381,172.8624446,631.4029053,509.6115078,782.301072,0.220767056,0.1988614,0.245085738,2500,2500,2500,1.7,473552.1781,423927.7079,528985.6297,243937.6805,196706.6675,302509.2781
32,Epinephelus,IUU_0,0.447087927,0.40753641,0.490477928,773.1202243,627.8160296,952.0541897,1.573857238,1.377924741,2.946033432,269.1341691,143.779346,307.403407,0.25,86.41317952,68.8987422,108.3798827,386.5601122,313.9080148,476.0270948,0.223543963,0.203768205,0.245238964,2500,2500,2500,1.7,289920.0845,253592.3436,331451.8651,151223.0642,120572.7989,189664.7947
33,Epinephelus,IUU_20,0.451017111,0.414549662,0.490692559,917.3897543,755.3320411,1114.217212,1.591294493,1.393845495,2.851292382,319.4220267,178.2681128,364.6706281,0.25,103.4396192,83.36808882,128.3435301,458.6948772,377.6660206,557.1086062,0.225508556,0.207274831,0.24534628,2500,2500,2500,1.7,344021.1572,301657.786,392333.8376,181019.3336,145894.1554,224601.1777
34,Epinephelus,IUU_40_legal,0.447087927,0.40753641,0.490477928,1083.033991,881.9649294,1329.942479,0.923911776,0.825449565,1.750550495,385.1083704,203.2538675,431.0453037,0.25,121.0528553,97.05214056,150.9888777,541.5169953,440.9824647,664.9712396,0.223543963,0.203768205,0.245238964,2500,2500,2500,1.7,406137.7469,357215.2261,461760.4659,211842.4968,169841.246,264230.536
35,Epinephelus,IUU_20_legal,0.451017111,0.414549662,0.490692559,917.3897543,755.3320411,1114.217212,1.273035594,1.115076396,2.281033906,319.4220267,178.2681128,364.6706281,0.25,103.4396192,83.36808882,128.3435301,458.6948772,377.6660206,557.1086062,0.225508556,0.207274831,0.24534628,2500,2500,2500,1.7,344021.1572,301657.786,392333.8376,181019.3336,145894.1554,224601.1777
36,Lutjanus,IUU_60_legal,0.378136514,0.307547725,0.464926942,1523.654452,961.6547539,2414.091833,0.089966302,0.057916896,0.165859012,289.0073386,156.7652023,448.9350018,0.12,144.0373458,87.62296579,236.7730513,761.8272258,480.8273769,1207.045917,0.143450147,0.116671532,0.176375028,2250,2500,2375,1.7,715416.5473,506940.3041,1006830.675,239462.0874,138006.1711,414352.8398
37,Lutjanus,IUU_40_legal,0.378136514,0.307547725,0.464926942,1333.376811,846.7806186,2099.591892,0.132851573,0.086684774,0.248421159,256.8747116,137.372395,393.6817034,0.12,126.0496149,77.61534203,204.7083089,666.6884057,423.3903093,1049.795946,0.145695811,0.118497986,0.17913612,2250,2500,2375,1.7,616423.6981,442120.2219,857064.6259,209557.4848,122244.1637,358239.5406
